kodim01: 512x768, PSNR:24.7822, MS-SSIM:0.9098, bpp:0.6846, Best PSNR:25.0587, Best MS-SSIM:0.9161, Best bpp:0.6866, Training:309.4652s, Eval:0.00419201s, FPS:238.5488
kodim02: 512x768, PSNR:31.7969, MS-SSIM:0.9431, bpp:0.7029, Best PSNR:31.7886, Best MS-SSIM:0.9429, Best bpp:0.7035, Training:388.5126s, Eval:0.00396429s, FPS:252.2521
kodim03: 512x768, PSNR:32.0525, MS-SSIM:0.9607, bpp:0.6936, Best PSNR:32.2149, Best MS-SSIM:0.9611, Best bpp:0.6925, Training:332.6022s, Eval:0.00413745s, FPS:241.6947
kodim04: 768x512, PSNR:30.7732, MS-SSIM:0.9441, bpp:0.6940, Best PSNR:30.7901, Best MS-SSIM:0.9441, Best bpp:0.6943, Training:373.2878s, Eval:0.00390780s, FPS:255.8986
kodim05: 512x768, PSNR:24.8495, MS-SSIM:0.9319, bpp:0.7001, Best PSNR:25.0287, Best MS-SSIM:0.9337, Best bpp:0.6995, Training:314.9294s, Eval:0.00389942s, FPS:256.4481
kodim06: 512x768, PSNR:26.0403, MS-SSIM:0.9136, bpp:0.6873, Best PSNR:26.4019, Best MS-SSIM:0.9204, Best bpp:0.6854, Training:361.2447s, Eval:0.00391008s, FPS:255.7492
kodim07: 512x768, PSNR:30.4902, MS-SSIM:0.9705, bpp:0.6970, Best PSNR:30.6634, Best MS-SSIM:0.9714, Best bpp:0.6981, Training:414.6110s, Eval:0.00409183s, FPS:244.3897
kodim08: 512x768, PSNR:22.6056, MS-SSIM:0.9281, bpp:0.6823, Best PSNR:22.9239, Best MS-SSIM:0.9331, Best bpp:0.6818, Training:331.6207s, Eval:0.00391404s, FPS:255.4902
kodim09: 768x512, PSNR:30.9823, MS-SSIM:0.9650, bpp:0.6861, Best PSNR:31.2385, Best MS-SSIM:0.9664, Best bpp:0.6812, Training:326.4770s, Eval:0.00399990s, FPS:250.0061
kodim10: 768x512, PSNR:31.1633, MS-SSIM:0.9641, bpp:0.6923, Best PSNR:31.5390, Best MS-SSIM:0.9677, Best bpp:0.6977, Training:452.2945s, Eval:0.00429088s, FPS:233.0524
kodim11: 512x768, PSNR:27.8051, MS-SSIM:0.9362, bpp:0.6885, Best PSNR:28.0409, Best MS-SSIM:0.9393, Best bpp:0.6888, Training:424.6383s, Eval:0.00401398s, FPS:249.1290
kodim12: 512x768, PSNR:31.3853, MS-SSIM:0.9463, bpp:0.6882, Best PSNR:31.6643, Best MS-SSIM:0.9502, Best bpp:0.6859, Training:360.6432s, Eval:0.00524550s, FPS:190.6397
kodim13: 512x768, PSNR:22.2135, MS-SSIM:0.8886, bpp:0.6925, Best PSNR:22.2691, Best MS-SSIM:0.8901, Best bpp:0.6947, Training:380.6134s, Eval:0.00391286s, FPS:255.5678
kodim14: 512x768, PSNR:26.1843, MS-SSIM:0.9264, bpp:0.6843, Best PSNR:26.2918, Best MS-SSIM:0.9273, Best bpp:0.6868, Training:316.6546s, Eval:0.00389570s, FPS:256.6936
kodim15: 512x768, PSNR:30.5740, MS-SSIM:0.9530, bpp:0.6903, Best PSNR:30.7044, Best MS-SSIM:0.9542, Best bpp:0.6919, Training:371.1296s, Eval:0.00443166s, FPS:225.6491
kodim16: 512x768, PSNR:29.8165, MS-SSIM:0.9454, bpp:0.6985, Best PSNR:30.1025, Best MS-SSIM:0.9480, Best bpp:0.6987, Training:401.3999s, Eval:0.00408517s, FPS:244.7878
kodim17: 768x512, PSNR:30.4329, MS-SSIM:0.9677, bpp:0.7026, Best PSNR:30.5773, Best MS-SSIM:0.9692, Best bpp:0.7031, Training:393.4060s, Eval:0.00393087s, FPS:254.3965
kodim18: 768x512, PSNR:25.7017, MS-SSIM:0.9179, bpp:0.6978, Best PSNR:25.7419, Best MS-SSIM:0.9173, Best bpp:0.6982, Training:296.0028s, Eval:0.00396049s, FPS:252.4943
kodim19: 768x512, PSNR:28.1210, MS-SSIM:0.9435, bpp:0.7061, Best PSNR:28.2315, Best MS-SSIM:0.9447, Best bpp:0.7075, Training:352.2675s, Eval:0.00392470s, FPS:254.7965
kodim20: 512x768, PSNR:30.0365, MS-SSIM:0.9633, bpp:0.6928, Best PSNR:30.0518, Best MS-SSIM:0.9630, Best bpp:0.6942, Training:327.4644s, Eval:0.00393754s, FPS:253.9655
kodim21: 512x768, PSNR:27.0802, MS-SSIM:0.9513, bpp:0.7017, Best PSNR:27.1661, Best MS-SSIM:0.9521, Best bpp:0.6995, Training:397.7883s, Eval:0.00392720s, FPS:254.6347
kodim22: 512x768, PSNR:28.6940, MS-SSIM:0.9282, bpp:0.7035, Best PSNR:28.7662, Best MS-SSIM:0.9284, Best bpp:0.7004, Training:350.8130s, Eval:0.00421032s, FPS:237.5115
kodim23: 512x768, PSNR:32.2783, MS-SSIM:0.9711, bpp:0.7081, Best PSNR:32.4873, Best MS-SSIM:0.9721, Best bpp:0.7055, Training:357.1027s, Eval:0.00402180s, FPS:248.6446
kodim24: 512x768, PSNR:25.1216, MS-SSIM:0.9365, bpp:0.6895, Best PSNR:25.2064, Best MS-SSIM:0.9367, Best bpp:0.6905, Training:395.1805s, Eval:0.00392955s, FPS:254.4819
Average: 576x704, PSNR:28.3742, MS-SSIM:0.9419, Bpp:0.6944, Best PSNR:28.5396, Best MS-SSIM:0.9437, Best bpp:0.6944, Training:363.7562s, Eval:0.00407229s, FPS:246.5384
